Group Signal ,Sx,Frame 61983,
Format,Mag/Phase,Scaling,EU
Signals,S:1,,S:3,
Chan,1,,3,
Chan Name,I_001,,I_003,
Point,0 X,,0 X,

Hz,g,deg,mm/s,deg
Scaling,Mag,Phase,Mag,Phase
       4.353564,      0.1014448,              0,       397.0584,      -117.7194
       4.355517,       0.100706,              0,        388.041,      -96.31525
       4.357471,     0.09863054,              0,       297.9295,      -105.2362
       4.359424,       0.100596,              0,       370.1058,      -117.3008
       4.361377,      0.1008872,              0,       398.1049,      -102.8864
        4.36333,     0.09902135,              0,       327.6497,      -101.5813
       4.365283,      0.1000113,              0,       349.7585,      -116.1689
       4.367236,      0.1009621,              0,       402.4238,      -108.2621
       4.369189,     0.09961194,              0,       356.3193,      -101.3831
       4.371142,     0.09988386,              0,       346.0046,      -111.6028
       4.373096,      0.1006973,              0,        389.174,      -109.6937
       4.375049,     0.09980486,              0,       370.5208,      -103.9804
       4.377002,     0.09964868,              0,       353.1625,      -109.9337
       4.378955,      0.1004976,              0,       386.2301,      -109.9302
       4.380908,      0.1000244,              0,        379.387,      -105.4891
       4.382861,     0.09977918,              0,       366.1538,        -108.06
       4.384814,      0.1002715,              0,       383.7441,      -109.1482
       4.386767,       0.100184,              0,       385.4056,      -106.1216
       4.388721,     0.09983863,              0,       373.2234,      -107.3018
       4.390674,      0.1001651,              0,       383.3419,      -108.4934
       4.392627,      0.1000867,              0,       385.3762,      -107.3741
        4.39458,      0.1000146,              0,       384.9273,      -107.6836
       4.396533,      0.1001197,              0,       388.1056,      -107.3117
       4.398486,      0.1000043,              0,       387.1241,      -107.5589
       4.400459,      0.0999741,              0,       388.5762,       -107.866
       4.402412,      0.1001224,              0,       393.4006,      -107.7508
       4.404356,      0.1001663,              0,       394.5806,      -107.0518
       4.406309,      0.1000398,              0,       393.6112,      -106.9295
       4.408262,      0.1001166,              0,       395.1334,      -106.6089
       4.410215,      0.1000186,              0,       396.1894,      -107.6657
       4.412168,      0.1000369,              0,       397.9517,      -108.1413
       4.414121,      0.1001364,              0,       403.1043,      -108.0483
       4.416074,      0.1003622,              0,       402.5631,      -107.8459
       4.418027,     0.09975365,              0,       406.7663,      -107.6842
       4.419981,     0.09998313,              0,       401.8282,      -107.7733
       4.421934,      0.1001081,              0,        407.377,      -108.9855
       4.423887,      0.1001198,              0,       415.3801,      -107.8988
        4.42584,      0.1001199,              0,        412.361,      -106.3306
       4.427793,     0.09984943,              0,       404.5142,       -108.477
       4.429746,      0.1002059,              0,       419.3045,       -108.938
       4.431699,      0.1001784,              0,       422.4115,      -106.8904
       4.433652,     0.09992754,              0,       411.8879,      -107.1097
       4.435606,      0.1000803,              0,       418.4276,      -108.8706
       4.437559,      0.1002495,              0,       426.8462,      -107.7597
       4.439512,      0.1000197,              0,       422.7685,      -106.8799
       4.441465,      0.1000306,              0,       423.4679,      -108.1269
       4.443418,      0.1001638,              0,       430.6267,       -108.081
       4.445371,     0.09998343,              0,       427.6636,      -107.7425
       4.447324,      0.1000002,              0,       429.4999,      -109.1388
       4.449277,      0.1002418,              0,       439.0348,      -108.1249
       4.451231,     0.09997539,              0,       432.4958,       -107.312
       4.453184,      0.1000378,              0,       433.7253,      -108.6698
       4.455137,      0.1002104,              0,       442.5228,      -108.5537
        4.45709,      0.1001021,              0,       440.8317,      -107.4141
       4.459043,     0.09993231,              0,       435.7361,      -108.6852
       4.460996,      0.1002146,              0,       447.1687,      -109.3144
       4.462949,       0.100169,              0,       451.5129,      -107.4952
       4.464902,     0.09995559,              0,       441.8247,       -106.866
       4.466856,     0.09999584,              0,        443.247,      -109.1055
       4.468818,      0.1001895,              0,       452.7642,      -108.9121
       4.470771,      0.1002209,              0,       453.9379,      -108.2888
       4.472724,     0.09999599,              0,       452.8903,      -107.9767
       4.474678,     0.09997442,              0,       452.1779,      -108.4034
       4.476631,      0.1000584,              0,       458.6869,      -108.9072
       4.478584,      0.1001979,              0,       462.8004,      -107.5256
       4.480537,      0.1000287,              0,       460.1311,      -107.2889
        4.48249,      0.1000201,              0,       461.4098,      -107.7489
       4.484443,      0.1000412,              0,       464.1722,       -108.285
       4.486396,     0.09997545,              0,       466.7122,      -108.7303
       4.488349,      0.1001674,              0,       470.2223,      -107.7295
       4.490303,      0.1000456,              0,       465.6985,      -107.8132
       4.492256,        0.10006,              0,       468.2773,      -109.3492
       4.494209,      0.1002218,              0,       479.5088,      -108.7241
       4.496162,      0.1000419,              0,       475.5626,      -108.2128
       4.498115,     0.09999163,              0,       475.3291,      -108.4313
       4.500068,      0.1000571,              0,       478.3135,      -109.0431
       4.502021,      0.1000975,              0,       482.7701,      -108.8035
       4.503974,      0.1000157,              0,       480.5802,      -108.9641
       4.505928,      0.1000683,              0,       484.7733,      -109.4752
       4.507881,      0.1000558,              0,       485.3264,      -109.5055
       4.509834,     0.09999174,              0,       489.6724,      -109.9865
       4.511787,      0.1001636,              0,       494.1125,         -109.3
        4.51374,      0.1000311,              0,       490.9866,      -109.2965
       4.515693,      0.1000011,              0,       491.5748,       -110.523
       4.517646,       0.100186,              0,        499.194,      -110.5425
       4.519599,      0.1001828,              0,       503.6212,      -109.7489
       4.521553,     0.09999233,              0,       502.2331,      -109.3831
       4.523506,      0.1000164,              0,       501.3035,      -109.7133
       4.525459,      0.1000542,              0,       504.1341,      -110.1116
       4.527412,      0.1000811,              0,       509.1619,      -110.3143
       4.529365,      0.1001063,              0,       511.8304,      -110.0482
       4.531318,      0.1001048,              0,       513.7554,       -109.508
       4.533271,      0.1000005,              0,        511.797,       -109.701
       4.535234,      0.1000427,              0,       512.7214,      -110.7573
       4.537188,      0.1000953,              0,       520.7086,      -111.6597
       4.539141,      0.1002236,              0,       528.7737,       -110.837
       4.541094,      0.1000716,              0,       530.1915,      -110.5186
       4.543047,     0.09996226,              0,       525.3673,      -110.8091
          4.545,      0.1001334,              0,       531.8194,      -111.0494
       4.546953,      0.1000968,              0,       534.6677,      -110.5157
       4.548906,     0.09999856,              0,       531.6415,      -110.8375
       4.550859,      0.1000275,              0,       534.2314,      -112.1119
       4.552813,      0.1002429,              0,       547.0143,      -112.0006
       4.554766,      0.1000581,              0,       544.7648,      -110.9088
       4.556719,      0.1001134,              0,       545.0382,      -110.3622
       4.558672,      0.1000498,              0,       544.9215,      -110.2562
       4.560625,      0.1000293,              0,       546.2599,      -111.0634
       4.562578,     0.09999524,              0,       547.3456,      -112.2322
       4.564531,      0.1001783,              0,       555.5339,      -112.5754
