Group Signal ,Sx,Frame 128552,
Format,Mag/Phase,Scaling,EU
Signals,S:1,,S:3,
Chan,1,,3,
Chan Name,I_001,,I_003,
Point,0 X,,0 X,

Hz,g,deg,mm/s,deg
Scaling,Mag,Phase,Mag,Phase
       6.289199,      0.1997441,              0,       375.0169,      -102.1748
       6.291035,      0.1993556,              0,       373.7315,      -101.9856
       6.292871,      0.1993352,              0,       372.7566,      -101.6924
       6.294707,      0.1996835,              0,       377.0947,      -101.3867
       6.296543,      0.1998342,              0,       379.0965,      -101.5995
        6.29834,      0.1998399,              0,       379.6978,      -101.7753
       6.300176,      0.1995945,              0,       379.4477,       -101.822
       6.302012,      0.1992941,              0,       379.1716,      -101.9245
       6.303848,      0.1996106,              0,       381.4837,      -101.4675
       6.305684,       0.199938,              0,       385.1383,      -101.5989
       6.307519,      0.1995831,              0,       384.2075,      -101.9589
       6.309356,      0.1995546,              0,       384.4158,      -101.7483
       6.311192,      0.1997816,              0,       386.6393,      -101.7853
       6.312988,      0.1995406,              0,       386.3975,      -101.8544
       6.314824,      0.1995526,              0,       386.9262,       -101.652
        6.31666,       0.199715,              0,       389.8139,      -101.4971
       6.318496,      0.1997561,              0,       391.7897,      -101.7018
       6.320332,      0.1995382,              0,       391.4837,      -102.0043
       6.322168,      0.1995269,              0,        392.164,      -101.9008
       6.324004,      0.1997026,              0,       393.6984,      -101.8164
        6.32584,      0.1997588,              0,       394.8726,      -101.7386
       6.327656,      0.1996213,              0,       394.7697,      -101.8574
       6.329492,      0.1996352,              0,       396.4447,      -101.7568
       6.331328,      0.1995988,              0,       398.3146,      -101.7331
       6.333164,      0.1996794,              0,       399.8396,      -101.8021
          6.335,      0.1997943,              0,       401.4624,      -101.9593
       6.336797,       0.199471,              0,       401.4813,      -102.1968
       6.338614,      0.1993399,              0,       400.5675,      -101.9614
       6.340469,      0.1996983,              0,       404.0204,      -101.5759
       6.342305,      0.1998154,              0,       406.7195,      -102.0054
       6.344141,      0.1995733,              0,       405.0327,      -102.0759
       6.345977,      0.1992669,              0,       405.5701,      -101.9209
       6.347813,      0.1996796,              0,       408.0537,      -101.6963
       6.349648,      0.1999291,              0,        411.461,      -101.7902
       6.351445,       0.199916,              0,       412.0655,      -102.1781
       6.353281,      0.1993936,              0,       409.6107,      -102.5621
       6.355117,      0.1994141,              0,       411.1325,      -102.0473
       6.356953,      0.1997407,              0,       414.0327,      -101.8646
       6.358789,      0.1997048,              0,       415.5396,      -101.8527
       6.360625,      0.1994833,              0,       415.5243,      -102.1661
       6.362461,      0.1994981,              0,       416.3361,      -101.9141
       6.364297,      0.1998162,              0,       419.9668,      -101.8927
       6.366133,      0.1998137,              0,       420.9442,      -102.2481
        6.36793,      0.1993363,              0,       419.7077,      -102.2816
       6.369766,      0.1992788,              0,       420.1482,      -101.9094
       6.371602,      0.1997116,              0,        424.621,      -101.6038
       6.373437,      0.2000019,              0,       428.0053,      -101.9047
       6.375274,      0.1998742,              0,       427.1802,      -102.4718
        6.37711,      0.1995091,              0,       425.1873,       -102.432
       6.378945,      0.1991645,              0,       424.1523,      -102.0047
       6.380781,      0.1996016,              0,       427.1445,      -101.5074
       6.382578,      0.2001308,              0,       432.3404,       -101.742
       6.384414,       0.199873,              0,       433.2405,      -102.3728
        6.38625,      0.1991894,              0,       430.2396,      -102.3469
       6.388086,      0.1990195,              0,       428.9489,      -101.7582
       6.389922,      0.1998544,              0,        435.397,      -101.3221
       6.391758,      0.2004152,              0,       441.7303,      -101.7832
       6.393594,      0.2000456,              0,       441.7984,      -102.7019
